#####################################################################
# Alchemist log file - simulation started at: 2020-02-18T16:54+0000 #
#####################################################################
# seed = 0.0, speed = 0, meanNeighbors = 2, nodeCount = 1000
#
# The columns have the following meaning: 
# time nodes org:protelis:armonicCentralityHLL[Mean] harmonicCentrality[Mean] msqer@harmonicCentrality[Mean] msqer@harmonicCentrality[Max] msqer@harmonicCentrality[Min] msqer@harmonicCentrality[StandardDeviation] 
0.0 1000.0 NaN NaN 0.0 0.0 0.0 0.0 
0.5 1000.0 0.5070564516129027 3.240134138084138 2.9886341380841386 11.860028860028859 0.0 2.49655431958798 
1.0 1000.0 1.0499166666666662 3.240134138084138 2.1902174714174714 11.617857142857144 0.0 2.253328908074528 
1.5 1000.0 2.0729000000000006 3.240134138084138 1.167234138084138 9.906746031746032 0.0 1.583271336158695 
2.0 1000.0 2.64345 3.240134138084138 0.596684138084138 7.117857142857144 0.0 1.035345174882297 
2.5 1000.0 2.9086785714285712 3.240134138084138 0.33145556665556647 5.002777777777777 0.0 0.7288727367426528 
3.0 1000.0 3.056107142857143 3.240134138084138 0.1840269952269952 3.5071428571428567 0.0 0.5021513052133988 
3.5 1000.0 3.131673015873016 3.240134138084138 0.10846112221112214 2.969444444444444 0.0 0.3724156557050178 
4.0 1000.0 3.1784988095238096 3.240134138084138 0.06163532856032861 2.425718725718726 0.0 0.26923237085038804 
4.5 1000.0 3.2022373737373737 3.240134138084138 0.03789676434676431 2.3394050394050394 0.0 0.21376055961397483 
5.0 1000.0 3.2166454906204907 3.240134138084138 0.02348864746364744 2.092385392385393 0.0 0.15950513213337864 
5.5 1000.0 3.2244785464535464 3.240134138084138 0.015655591630591645 1.4286907536907538 0.0 0.11702527371822964 
6.0 1000.0 3.2297275446775444 3.240134138084138 0.010406593406593407 1.3027028527028532 0.0 0.09161244188378224 
6.5 1000.0 3.233597990897991 3.240134138084138 0.006536147186147197 0.9814685314685327 0.0 0.0713248531832113 
7.0 1000.0 3.2368339382839384 3.240134138084138 0.0033001998001998055 0.9006826506826506 0.0 0.048567332137161655 
7.5 1000.0 3.238757881007881 3.240134138084138 0.0013762570762570778 0.2511655011655023 0.0 0.017748368201367916 
8.0 1000.0 3.2394724164724162 3.240134138084138 6.617216117216093E-4 0.23168498168498175 0.0 0.01207690599831245 
8.5 1000.0 3.240134138084138 3.240134138084138 0.0 0.0 0.0 0.0 
9.0 1000.0 3.240134138084138 3.240134138084138 0.0 0.0 0.0 0.0 
9.5 1000.0 3.240134138084138 3.240134138084138 0.0 0.0 0.0 0.0 
10.0 1000.0 3.240134138084138 3.240134138084138 0.0 0.0 0.0 0.0 
10.5 1000.0 3.240134138084138 3.240134138084138 0.0 0.0 0.0 0.0 
11.0 1000.0 3.240134138084138 3.240134138084138 0.0 0.0 0.0 0.0 
11.5 1000.0 3.240134138084138 3.240134138084138 0.0 0.0 0.0 0.0 
#####################################################################
# End of data export. Simulation finished at: 2020-02-18T16:54+0000 #
#####################################################################
