#####################################################################
# Alchemist log file - simulation started at: 2020-02-18T16:54+0000 #
#####################################################################
# seed = 0.0, speed = 0, meanNeighbors = 3, nodeCount = 500
#
# The columns have the following meaning: 
# time nodes org:protelis:armonicCentralityHLL[Mean] harmonicCentrality[Mean] msqer@harmonicCentrality[Mean] msqer@harmonicCentrality[Max] msqer@harmonicCentrality[Min] msqer@harmonicCentrality[StandardDeviation] 
0.0 500.0 NaN NaN 0.0 0.0 0.0 0.0 
0.5 500.0 0.8201058201058201 6.9961686117803765 6.582835278447043 20.49523809523809 0.0 4.349256564892197 
1.0 500.0 1.8663666666666667 6.9961686117803765 5.12980194511371 18.698412698412696 0.0 3.9523084345399946 
1.5 500.0 3.718566666666666 6.9961686117803765 3.2776019451137097 14.198412698412696 0.0 3.119549896493345 
2.0 500.0 4.929364285714286 6.9961686117803765 2.066804326066091 10.145634920634922 0.0 2.294104118291364 
2.5 500.0 5.597322222222223 6.9961686117803765 1.398846389558154 6.988924963924964 0.0 1.7613783781497745 
3.0 500.0 6.058968253968254 6.9961686117803765 0.9372003578121224 6.988924963924964 0.0 1.319610636658561 
3.5 500.0 6.375254834054835 6.9961686117803765 0.6209137777255421 5.060736485736486 0.0 1.014612321899326 
4.0 500.0 6.609582106782107 6.9961686117803765 0.3865865049982696 4.233813408813409 0.0 0.7189054649069927 
4.5 500.0 6.730969047619048 6.9961686117803765 0.26519956416132884 3.8845460095460096 0.0 0.5560643753709859 
5.0 500.0 6.835693767343766 6.9961686117803765 0.16047484443660912 2.421450771450772 0.0 0.37979752367317304 
5.5 500.0 6.900910173160173 6.9961686117803765 0.0952584386202033 2.421450771450772 0.0 0.27766232299970167 
6.0 500.0 6.94282498057498 6.9961686117803765 0.05334363120539591 1.406696081696082 0.0 0.18310928248538935 
6.5 500.0 6.962726373626373 6.9961686117803765 0.033442238154002844 1.406696081696082 0.0 0.13831667087979188 
7.0 500.0 6.9767730202803735 6.9961686117803765 0.01939559150000328 1.0412920412920412 0.0 0.09141721503344612 
7.5 500.0 6.98525613716349 6.9961686117803765 0.010912474616886414 1.0412920412920412 0.0 0.07299363743631426 
8.0 500.0 6.991925725581608 6.9961686117803765 0.004242886198768546 0.5943223443223449 0.0 0.037830549558104 
8.5 500.0 6.99325950454774 6.9961686117803765 0.0029091072326366506 0.5943223443223449 0.0 0.03368816768575665 
9.0 500.0 6.9955861941979585 6.9961686117803765 5.82417582417579E-4 0.29120879120879106 0.0 0.01302325305576814 
9.5 500.0 6.9955861941979585 6.9961686117803765 5.82417582417579E-4 0.29120879120879106 0.0 0.01302325305576814 
10.0 500.0 6.9961686117803765 6.9961686117803765 0.0 0.0 0.0 0.0 
10.5 500.0 6.9961686117803765 6.9961686117803765 0.0 0.0 0.0 0.0 
11.0 500.0 6.9961686117803765 6.9961686117803765 0.0 0.0 0.0 0.0 
11.5 500.0 6.9961686117803765 6.9961686117803765 0.0 0.0 0.0 0.0 
12.0 500.0 6.9961686117803765 6.9961686117803765 0.0 0.0 0.0 0.0 
12.5 500.0 6.9961686117803765 6.9961686117803765 0.0 0.0 0.0 0.0 
#####################################################################
# End of data export. Simulation finished at: 2020-02-18T16:54+0000 #
#####################################################################
