#####################################################################
# Alchemist log file - simulation started at: 2020-02-20T08:22+0000 #
#####################################################################
# seed = 7.0, speed = 1, meanNeighbors = 2, nodeCount = 10
#
# The columns have the following meaning: 
# time nodes org:protelis:armonicCentralityHLL[Mean] harmonicCentrality[Mean] msqer@harmonicCentrality[Mean] msqer@harmonicCentrality[Max] msqer@harmonicCentrality[Min] msqer@harmonicCentrality[StandardDeviation] 
0.0 10.0 NaN NaN 0.0 0.0 0.0 0.0 
0.5 10.0 0.0 3.3833333333333333 3.3833333333333333 5.333333333333333 0.0 1.9181556213337647 
1.0 10.0 1.05 3.3833333333333333 2.3333333333333335 4.416666666666667 0.0 1.657381543352922 
1.5 10.0 1.35 3.3833333333333333 2.033333333333333 4.333333333333333 0.0 1.502672516338149 
2.0 10.0 2.941666666666667 3.3833333333333333 0.4416666666666666 1.416666666666667 0.0 0.4698469674686707 
2.5 10.0 3.0583333333333336 3.3833333333333333 0.3249999999999999 0.9999999999999996 0.0 0.32262905351632454 
3.0 10.0 3.3583333333333334 3.3833333333333333 0.025 0.25 0.0 0.07905694150420949 
3.5 10.0 3.3833333333333333 3.2066666666666666 0.17666666666666667 0.8833333333333333 0.0 0.291039007185813 
4.0 10.0 3.295 3.2066666666666666 0.08833333333333333 0.5 0.0 0.1549691327289581 
4.5 10.0 3.295 3.2066666666666666 0.08833333333333333 0.5 0.0 0.1549691327289581 
5.0 10.0 3.2283333333333335 3.2066666666666666 0.021666666666666633 0.08333333333333348 0.0 0.03604695155001848 
5.5 10.0 3.2283333333333335 3.2066666666666666 0.021666666666666633 0.08333333333333348 0.0 0.03604695155001848 
6.0 10.0 3.2066666666666666 3.2066666666666666 0.0 0.0 0.0 0.0 
6.5 10.0 3.2066666666666666 3.2066666666666666 0.0 0.0 0.0 0.0 
7.0 10.0 3.2066666666666666 3.2066666666666666 0.0 0.0 0.0 0.0 
7.5 10.0 3.2066666666666666 3.2066666666666666 0.0 0.0 0.0 0.0 
8.0 10.0 3.2066666666666666 3.2066666666666666 0.0 0.0 0.0 0.0 
8.5 10.0 3.2066666666666666 3.2066666666666666 0.0 0.0 0.0 0.0 
9.0 10.0 3.2066666666666666 3.2066666666666666 0.0 0.0 0.0 0.0 
9.5 10.0 3.2066666666666666 3.2066666666666666 0.0 0.0 0.0 0.0 
10.0 10.0 3.2066666666666666 3.2066666666666666 0.0 0.0 0.0 0.0 
10.5 10.0 3.2066666666666666 3.2066666666666666 0.0 0.0 0.0 0.0 
